,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,label
0,344.0673447,262.2529221,380.2313232,243.2875156,410.7022476,219.013052,436.1003876,194.7727203,459.3648529,181.1408186,378.7847519,168.9188862,373.0762863,176.78617,371.9648361,195.2841425,372.1194839,205.7095957,350.1957321,163.3608484,344.772644,174.6568966,344.5407867,193.2680655,345.3348541,204.7464895,324.174118,167.1271849,319.8057938,173.3483362,322.390213,191.3858414,325.9222412,203.4973669,299.910717,174.8341799,293.4097099,169.4224834,298.5913086,184.1007614,303.5840988,196.2154341,right
1,339.6951294,267.6446915,373.4571075,245.2114105,401.6286469,218.1171942,425.4096603,192.092557,447.5342178,178.3025551,371.6685104,167.877388,363.8057709,171.470561,362.4748993,189.180336,363.6299515,200.0693464,343.2470703,163.5652542,335.7361221,171.9313288,335.4710007,189.5597219,337.2144318,201.636529,317.3712158,168.4487486,312.1440125,174.4676256,314.3093681,190.8193159,318.0863571,203.1750727,293.9585876,177.4074125,286.7734718,172.6297903,291.5839958,185.7926273,296.9264221,197.5101757,right
2,336.3690186,271.5041828,368.6083603,244.4403648,393.2262802,214.7701693,413.2053757,186.0445404,434.1309357,172.5560331,364.6427155,167.6191235,352.0018387,165.1039124,350.0888443,183.1819153,353.249588,195.7146835,335.1828766,166.4625978,325.5941391,167.4220276,325.4814148,185.3469944,329.26754,199.5489836,308.7175369,174.6081448,301.0877228,170.6110954,303.4677505,186.9855452,308.7259674,202.1854448,285.3959465,186.8496037,276.6801262,171.6819191,280.9963608,183.2156467,286.5341568,196.5385294,right
3,340.9295654,266.2271118,372.457695,239.3136263,396.4351273,210.4542303,415.0218964,183.1196022,435.006485,169.5687532,366.3009262,162.954998,356.0654831,164.9404049,354.7621155,183.0684757,356.9548416,194.7011375,337.0702362,160.9407377,329.4665146,167.124939,329.5090485,185.4011536,332.7014542,198.4213114,311.2704086,168.500061,305.3771973,169.8153591,308.154068,186.5238476,313.0022049,200.5795956,288.5040283,180.3641224,281.2379646,169.0863419,286.2856674,181.3548374,291.6591835,193.9916039,right
4,368.2891083,212.303381,397.3478317,190.938549,420.3053284,167.9701424,436.7694092,146.388545,453.2387543,134.3813324,395.2558136,123.6370182,386.9970703,131.0211182,384.7110367,150.3543949,385.5820084,163.1494761,370.1514816,120.44559,363.745079,129.6990395,363.6351395,146.829071,366.1366653,160.2974939,347.4061584,125.236845,342.1334839,132.2294855,344.6089172,147.7385187,349.0045547,160.7791901,326.7019653,133.2899666,318.3166122,129.0972233,323.3433151,140.6913328,329.7912598,151.5462971,right
5,455.6101608,254.0563202,483.6352539,232.204628,503.9756012,210.1383877,519.3332291,189.4126797,536.9615173,180.9004927,490.7766724,169.7778225,468.7373352,162.9517651,463.5201645,179.8032475,466.907692,193.7793589,469.6543121,164.7549391,447.2043991,164.8909092,444.3022919,181.4110708,449.9500656,194.1455698,447.658577,167.1749353,428.468399,166.480794,427.9110336,182.7263546,435.2106476,194.767313,426.2073517,172.462306,409.824028,163.194437,411.0827637,176.9593334,418.2935715,188.1181669,right
6,458.9442825,334.8532963,487.4494934,311.3330269,510.2283859,284.8976326,528.0649567,262.3614693,546.6207886,251.1059189,499.3141937,244.8636818,470.0738525,231.7174101,464.3016052,247.4516487,468.4938049,259.6287918,478.1906509,242.7061272,448.8285065,232.4840069,444.6513748,246.9806671,451.0246277,259.260006,455.8689117,246.0722923,432.4780655,235.2971935,429.2126846,247.8733921,436.0664749,259.0368176,434.1847229,251.5249729,416.6423798,238.9598465,415.1082993,250.8669662,420.2697754,261.4413071,right
7,268.3064651,253.6792088,298.8918114,231.9669771,323.0455399,205.1388502,340.6279373,179.2300415,359.444809,161.5226555,285.7940865,160.194912,283.1118774,177.6306438,283.6844254,194.0301132,283.2940483,201.1843443,257.2151566,161.4110899,257.8406334,180.7086468,260.7775116,194.1827774,261.6953468,202.1173668,233.6026764,170.5966616,236.6508865,186.1503696,241.7038155,197.8032732,244.2137909,205.6257963,213.6160851,182.1338224,217.6574898,192.229085,223.8711166,204.010148,226.3495445,211.9215202,right
8,385.5526352,254.9046993,415.22686,235.1862288,437.3833466,211.6059494,455.2248383,189.4235373,472.2019196,178.3453131,415.2424622,166.7833471,401.3363266,169.1241646,397.9276657,185.6692743,399.4673538,197.3594141,390.3963089,162.449255,379.2298126,167.3830032,378.0143356,183.3464098,381.37043,195.8226156,367.0275879,166.7353249,358.10112,168.2468033,359.0517807,182.6729965,363.5049438,194.9426365,345.669136,174.6172857,336.3319397,169.678545,340.0026703,181.9698429,345.6231689,193.1850243,right
9,161.2629318,296.8805981,198.0073547,276.8869686,225.4166985,249.2845917,247.3343658,221.311512,268.9541817,205.0449085,190.4432678,203.82514,187.1710014,169.7990513,183.0960846,150.7908726,180.9887314,137.2104549,160.9430695,199.9695826,162.6615715,203.6072302,164.5331192,219.3043041,165.7945633,231.4196634,135.1665306,207.4394417,141.4567375,212.2473764,144.0807724,224.9555969,145.9758949,236.1601496,112.4288368,217.0592308,117.8949738,218.7375927,123.1202507,230.5276966,126.5772152,241.0921383,right
